tf,rapida,lenta,modo,toques,razao,stop_pct,stop_pts,alvo_pts,n_tr,n_ho,acerto_ho,acerto_neutro,"sh_tr|0,60 pts (pedido)","sh_ho|0,60 pts (pedido)","ret_ho|0,60 pts (pedido)","usd_ho|0,60 pts (pedido)","sh_tr|15,82 pts medidos (0,0145%)","sh_ho|15,82 pts medidos (0,0145%)","ret_ho|15,82 pts medidos (0,0145%)","usd_ho|15,82 pts medidos (0,0145%)",sh_tr|30 pts (folga slippage),sh_ho|30 pts (folga slippage),ret_ho|30 pts (folga slippage),usd_ho|30 pts (folga slippage)
5,10,30,0,1,0.2,0.002,111.56307036342837,22.312614072685676,9293,3989,0.7510654299323138,0.8333333333333334,-0.26514078569314525,-0.20272215821524966,-0.839246016548687,-484.95622391999996,-0.3899984184952619,-0.3302959667346405,-1.3674595365955478,-789.5079196661549,-0.5107075955223513,-0.45583574059680176,-1.887207212254515,-1083.940736712961
5,10,30,0,1,0.25,0.002,111.56307036342837,27.89076759085709,9265,3965,0.7316519546027743,0.8,-0.2296666402371242,-0.1659131295029036,-0.7287696778771224,-428.17632315000003,-0.3471833842038947,-0.28543900817233303,-1.253870785309939,-731.2446088733275,-0.46078604613090846,-0.40304575886215377,-1.7704913754297196,-1024.21872338387
5,10,30,0,1,0.3333333333333333,0.002,111.56307036342837,37.187690121142786,9218,3935,0.6922490470139772,0.75,-0.18932300892062945,-0.13559360483527555,-0.6567772387111364,-390.21204080000007,-0.296383676001766,-0.24319205043242015,-1.1780098462029285,-691.5020091969565,-0.3998656474724273,-0.34903787003957365,-1.6907215793987256,-982.7208177853784
5,10,30,0,1,0.5,0.002,111.56307036342837,55.78153518171418,9138,3873,0.6238058352698167,0.6666666666666666,-0.1286480564745848,-0.09731680677388885,-0.5478100593473172,-331.4308966,-0.2206698746830393,-0.18847714035540528,-1.0609972387151052,-628.5726249417949,-0.3096026704451766,-0.2781209793152528,-1.5656306676013376,-915.7397897892442
5,10,30,0,1,0.75,0.002,111.56307036342837,83.67230277257129,9012,3818,0.5505500261917234,0.5714285714285714,-0.07782030181554495,-0.049321239947535,-0.3278999748809484,-194.98556935000002,-0.15506970070708403,-0.12544901733456185,-0.8340021836855855,-488.794189984446,-0.2297096234051131,-0.20027708315025175,-1.331469374877849,-772.6779877465474
5,10,30,0,1,1.0,0.002,111.56307036342837,111.56307036342837,8900,3753,0.4876099120703437,0.5,-0.05453069943454542,-0.031184999469545945,-0.23402494308173752,-157.8487928,-0.1220368274958157,-0.09747944240143026,-0.7315534822870616,-446.82641075986544,-0.18725981465523617,-0.16263838654645968,-1.2205514834773619,-726.030447591148
5,10,30,0,1,1.3333333333333333,0.002,111.56307036342837,148.75076048457115,8759,3678,0.41163675910821096,0.4285714285714286,-0.03699347002959989,-0.039959570332911004,-0.3375664358811509,-231.57067206666676,-0.09570153327900024,-0.09769308365059154,-0.8253178011862018,-515.5922796998543,-0.15241219417252613,-0.15441917371169914,-1.3045436600665434,-789.9507269968576
5,10,30,0,1,2.0,0.002,111.56307036342837,223.12614072685673,8508,3548,0.3334272829763247,0.3333333333333333,-0.020018422246770907,-0.0042859895404343705,-0.04302008394122959,-41.388533200000005,-0.0679965134920309,-0.0511840424440556,-0.5137537317224876,-316.17319866091236,-0.11433251329243903,-0.0972406265214772,-0.9760412105989021,-581.5531225696185
5,10,30,0,1,0.2,0.004,223.12614072685673,44.62522814537135,8697,3634,0.7991194276279582,0.8333333333333334,-0.0975003600987748,-0.09203608571233086,-0.6433106099095134,-362.59348904,-0.16724142027325897,-0.16095818011848934,-1.1250550904959185,-642.0165524362196,-0.23463057904788512,-0.22869935216677667,-1.5985479592210845,-912.0165371997084
5,10,30,0,1,0.25,0.004,223.12614072685673,55.78153518171418,8587,3568,0.7684977578475336,0.8,-0.07811128697858329,-0.08072588819015485,-0.6075345403181914,-345.7563249000001,-0.14212161124299172,-0.14359352831118333,-1.0806610244604942,-620.6735290302852,-0.20396402792693194,-0.20536653549215858,-1.5455544079528971,-886.279811872728
