ativo,n,preco_medio,n_tr,n_ho,acerto_ho,neutro,edge_bruto_pct,custo_pct,edge_liq_pct,razao_edge_custo,sharpe_tr,sharpe_ho,ret_liq_total_pct
BTCUSD,2889007,55781.58364384026,12421,4996,0.45716573258606885,0.4285714285714286,6.672004270082727e-05,9.188662256660102e-05,-2.5166579865773748e-05,0.7261126901521212,0.028964086004297993,-0.021648782761867547,-0.1257322330094052
EURUSD,1325888,1.1088534398908505,2049,791,0.3868520859671302,0.4285714285714286,-9.73451327433629e-05,6.451612903225807e-05,-0.00016186126177562097,-1.508849557522125,-0.024886769152803304,-0.14234307421045875,-0.12803225806451618
US30,1222067,41187.97116033819,2269,1016,0.4202755905511811,0.4285714285714286,-1.9356955380577502e-05,4.545454545454545e-05,-6.481150083512295e-05,-0.42585301837270506,-0.06614990528702898,-0.05624495626214555,-0.06584848484848482
US500,1221906,5597.148424429539,2290,1045,0.415311004784689,0.4285714285714286,-3.094098883572574e-05,6.666666666666667e-05,-9.760765550239241e-05,-0.46411483253588615,0.0040306941060673784,-0.08484964325612071,-0.10200000000000004
