rapida,lenta,modo,razao,stop_pct,stop_pts,alvo_pts,n_tr,n_ho,acerto_ho,"sh_tr|0,0092% (Pepperstone min)","sh_ho|0,0092% (Pepperstone min)","ret_ho|0,0092% (Pepperstone min)","sh_tr|0,0145% (Pepperstone medio, medido)","sh_ho|0,0145% (Pepperstone medio, medido)","ret_ho|0,0145% (Pepperstone medio, medido)","sh_tr|0,030% (folga p/ slippage)","sh_ho|0,030% (folga p/ slippage)","ret_ho|0,030% (folga p/ slippage)","sh_tr|0,050%","sh_ho|0,050%","ret_ho|0,050%","sh_tr|0,063% (leitura '$69' AskTraders)","sh_ho|0,063% (leitura '$69' AskTraders)","ret_ho|0,063% (leitura '$69' AskTraders)","sh_tr|0,260% (CostModel.ts atual)","sh_ho|0,260% (CostModel.ts atual)","ret_ho|0,260% (CostModel.ts atual)"
10,50,0,0.75,0.004,223.12633457536106,167.3447509315208,23389,8216,0.5811830574488802,-0.031783445852943085,-0.006834629788474197,-0.19394049100719332,-0.0472093466260289,-0.022318595759643952,-0.6333158567733812,-0.09181440156127067,-0.0670915502158575,-1.9037999999999986,-0.14950502813095276,-0.12499933218596845,-3.5470000000000015,-0.18816285231549654,-0.16380266970239396,-4.648089387949637,-0.7552566071126146,-0.7330310428721328,-20.800600000000003
10,50,0,1.0,0.004,223.12633457536106,223.12633457536106,20996,7146,0.5146935348446684,-0.02287585471972078,0.006417736927433517,0.18337819513906847,-0.03624503997786635,-0.006956607457999106,-0.19877569528999273,-0.07490296029325282,-0.045629445745401676,-1.303799999999998,-0.12490176980292213,-0.09564754964118967,-2.7330000000000023,-0.15840539599645437,-0.12916410478056053,-3.6906904535404217,-0.6498892696544494,-0.620837640546962,-17.739600000000003
10,50,0,1.3333333333333333,0.004,223.12633457536106,297.5017794338147,18663,6177,0.44471426258701635,-0.016684136951570835,0.012672362589022856,0.363082999072772,-0.028256868747485286,0.0011430198126652763,0.032749304533126314,-0.06172022010056968,-0.032194869200852044,-0.9224333333333329,-0.10500055479545155,-0.07531293526965485,-2.1578333333333344,-0.1340022084221816,-0.10420585455961962,-2.985660639731205,-0.5594440690917105,-0.5280526289920839,-15.129533333333335
10,50,0,2.0,0.004,223.12633457536106,446.2526691507221,15509,4952,0.3546042003231018,-0.023092139610176386,0.02845415358247382,0.8089774450501901,-0.03256850870705416,0.01913953304093974,0.5441543180694041,-0.05997008287576372,-0.0077943340354624715,-0.221599999999999,-0.09541032580525954,-0.042629660879876234,-1.212000000000002,-0.11915842426924729,-0.06597241204476235,-1.875655629153676,-0.4675328765649642,-0.4084005927462196,-11.6112
10,50,0,3.0,0.004,223.12633457536106,669.3790037260832,12648,3831,0.2602453667449752,-0.015288349844113288,0.010260230865045588,0.2759823489473509,-0.02301591290485233,0.002643593980803882,0.07110807603470938,-0.04536069392672966,-0.01938043635887963,-0.5212999999999981,-0.07426065648895414,-0.047865551145324495,-1.2875000000000023,-0.09362618843236149,-0.06695309837383079,-1.8009217922632759,-0.3777102633923096,-0.34695925640299385,-9.332600000000001
10,50,0,0.75,0.008,446.2526691507221,334.6895018630416,11840,3867,0.5865011636927852,-0.010998390501032922,0.017276833735253835,0.4606744305349529,-0.018719498256585452,0.009521160703801554,0.25387494910629865,-0.04104561331874355,-0.012904902235180147,-0.3441000000000005,-0.06992143397791913,-0.041909992001783865,-1.1175000000000028,-0.08927078871024327,-0.061345968473627714,-1.6357464293088197,-0.37311755089926174,-0.34646343455112194,-9.238199999999999
10,50,0,1.0,0.008,446.2526691507221,446.2526691507221,10041,3189,0.5058011915961116,-0.0167635852698932,0.00011654493999927913,0.002973560635106842,-0.02344809729999427,-0.006567608584041358,-0.16756782707525494,-0.04277682440020804,-0.025895299039280277,-0.6607000000000012,-0.067775927726605,-0.05089306160512399,-1.2985000000000015,-0.08452753883964788,-0.06764377428996768,-1.725882431617746,-0.33026651265377255,-0.3133695685464827,-7.995399999999998
10,50,0,1.3333333333333333,0.008,446.2526691507221,595.0035588676294,8443,2602,0.4265949269792467,-0.018208275258746045,-0.01394646103216853,-0.3350889919182991,-0.02400419175137777,-0.0197378991774011,-0.4742387852147434,-0.04076348363046101,-0.03648424160642001,-0.876600000000001,-0.06243936881370281,-0.05814337842136525,-1.397000000000002,-0.07696412973731667,-0.07265691645634911,-1.7457140442362435,-0.2900361632377411,-0.28556431497828966,-6.8612
10,50,0,2.0,0.008,446.2526691507221,892.5053383014442,6492,1953,0.33947772657450076,-0.013702708573484686,0.004889196046287061,0.1085454261274264,-0.0184385611986696,0.0001848047201625782,0.00410286413359115,-0.03213260536626533,-0.013418266933505642,-0.29790000000000194,-0.049844005777013624,-0.031012006659008343,-0.6885000000000008,-0.06171221113120171,-0.04280136894363534,-0.9502365597207465,-0.23581371008987115,-0.21574627377678718,-4.7898
10,50,0,3.0,0.008,446.2526691507221,1338.7580074521663,5003,1487,0.2548755884330868,-0.011625921092663876,0.004597286961259695,0.09536459224346314,-0.01549613026962169,0.000763740785457643,0.01584278492916033,-0.02668710676353764,-0.010321222114523073,-0.21410000000000143,-0.04116112650856214,-0.02465812756458909,-0.5115000000000007,-0.05086000037797545,-0.03426512272470655,-0.7107843135200965,-0.19313833383131934,-0.17519563479028252,-3.6341999999999985
10,50,0,0.75,0.015,836.7237546576039,627.5428159932029,5291,1616,0.5525990099009901,-0.024363818861824555,-0.04489529917855525,-0.9472387820676282,-0.028470514521960942,-0.04899128108035375,-1.033659253230986,-0.04034530797598779,-0.06083509496396486,-1.2835499999999995,-0.05570375279223012,-0.07615347188138419,-1.6067500000000017,-0.06599526971200521,-0.08641813976379835,-1.823322596266629,-0.21696742336277391,-0.236996429514286,-5.000349999999999
10,50,0,1.0,0.015,836.7237546576039,836.7237546576039,4299,1293,0.4965197215777262,-0.012405106843071778,-0.013081587151469277,-0.2538094029786165,-0.01596996342854463,-0.016645495521297616,-0.3229564755121683,-0.026277991865283533,-0.026950782127168036,-0.5229000000000001,-0.039610037304459084,-0.04027928137766652,-0.7815000000000005,-0.04854368734872544,-0.04921055516175763,-0.9547848805524439,-0.1795965144158021,-0.18022852350790042,-3.4967999999999986
