rapida,lenta,modo,stop_pct,razao,alvo_pct,stop_pts,alvo_pts,n_tr,sharpe_tr,ret_tr,acerto_tr,n_ho,sharpe_ho,ret_ho,acerto_ho
10,50,0,0.002,0.75,0.0015,139.56444081115714,104.67333060836786,3093,-1.5015995672869207,-8.046799999999998,0.0,1092,-1.4946633902330986,-2.8251999999999997,0.0
10,50,0,0.002,1.0,0.002,139.56444081115714,139.56444081115714,2890,-1.2860598216422279,-7.433999999999999,0.0,1004,-1.2874981568665373,-2.5864000000000003,0.0
10,50,0,0.002,1.3333333333333333,0.0026666666666666666,139.56444081115714,186.08592108154284,2677,-1.0999178060537784,-6.821533333333333,0.43967127381397086,917,-1.092525867392287,-2.3235333333333337,0.44274809160305345
10,50,0,0.002,2.0,0.004,139.56444081115714,279.1288816223143,2400,-0.892513290145695,-6.102,0.34291666666666665,785,-0.8289872181153267,-1.883,0.3668789808917197
10,50,0,0.002,3.0,0.006,139.56444081115714,418.69332243347145,2083,-0.7483917847698895,-5.405799999999999,0.2506000960153625,636,-0.6295570667335199,-1.4535999999999998,0.2893081761006289
10,50,0,0.004,0.75,0.003,279.1288816223143,209.34666121673573,1871,-0.729448450301509,-4.711600000000001,0.5831106360235169,590,-0.7081705479945598,-1.4369999999999998,0.5949152542372881
10,50,0,0.004,1.0,0.004,279.1288816223143,279.1288816223143,1652,-0.6162693730602287,-4.071200000000001,0.5169491525423728,502,-0.5868643237395635,-1.1772,0.5318725099601593
10,50,0,0.004,1.3333333333333333,0.005333333333333333,279.1288816223143,372.17184216308567,1439,-0.5175050804609475,-3.458733333333334,0.4496177901320361,424,-0.4185129527488095,-0.8290666666666666,0.49764150943396224
10,50,0,0.004,2.0,0.008,279.1288816223143,558.2577632446286,1182,-0.40062889862640855,-2.7252,0.35786802030456855,313,-0.4381209788077745,-0.7817999999999999,0.34185303514376997
10,50,0,0.004,3.0,0.012,279.1288816223143,837.3866448669429,915,-0.3681974835340336,-2.343,0.25245901639344265,244,-0.37450787380372075,-0.6344000000000001,0.25
10,50,0,0.008,0.75,0.006,558.2577632446286,418.69332243347145,899,-0.3596009015002553,-2.2354,0.5795328142380423,263,-0.2897095534651575,-0.5197999999999999,0.6159695817490495
10,50,0,0.008,1.0,0.008,558.2577632446286,558.2577632446286,750,-0.314141579553098,-1.8859999999999997,0.5053333333333333,196,-0.3343652837420518,-0.5255999999999998,0.49489795918367346
10,50,0,0.008,1.3333333333333333,0.010666666666666666,558.2577632446286,744.3436843261713,619,-0.24186502258018533,-1.3907333333333334,0.44749596122778673,161,-0.2936504848453559,-0.4372666666666667,0.422360248447205
10,50,0,0.008,2.0,0.016,558.2577632446286,1116.5155264892571,453,-0.214481335760454,-1.1058,0.33995584988962474,105,-0.2960011881047539,-0.3449999999999999,0.3047619047619048
10,50,0,0.008,3.0,0.024,558.2577632446286,1674.7732897338858,324,-0.19527606723546828,-0.8743999999999997,0.24691358024691357,84,-0.10019581832056945,-0.12239999999999995,0.2857142857142857
