rapida,lenta,modo,razao,stop_pct,alvo_pct,stop_pts,alvo_pts,n_tr,sharpe_tr,ret_tr,acerto_tr,n_ho,sharpe_ho,ret_ho,acerto_ho
10,50,1,2.0,0.025,0.05,1394.5395910960067,2789.0791821920134,1067,-0.1398646548158195,-5.1492,0.3036551077788191,296,-0.10062226272402286,-1.0445999999999998,0.32094594594594594
10,50,1,3.0,0.025,0.07500000000000001,1394.5395910960067,4183.61877328802,760,-0.0887818937035721,-2.8760000000000003,0.2381578947368421,203,-0.1839413698854987,-1.5028000000000004,0.2019704433497537
10,50,1,0.75,0.04,0.03,2231.2633457536103,1673.4475093152078,1046,-0.04186778228388326,-1.5095999999999978,0.5879541108986616,300,-0.07778019637971595,-0.8099999999999995,0.57
10,50,1,1.0,0.04,0.04,2231.2633457536103,2231.2633457536103,822,-0.07225720396529418,-2.3771999999999984,0.49635036496350365,241,-0.05244678874408879,-0.5065999999999995,0.5062240663900415
10,50,1,1.3333333333333333,0.04,0.05333333333333333,2231.2633457536103,2975.0177943381473,640,-0.13806817529542084,-4.024000000000001,0.3890625,181,-0.11947554353608279,-0.9906000000000004,0.39779005524861877
10,50,1,2.0,0.04,0.08,2231.2633457536103,4462.526691507221,450,-0.09469763845595444,-2.369999999999999,0.3111111111111111,118,-0.10794661927383298,-0.7067999999999998,0.3050847457627119
10,50,1,3.0,0.04,0.12,2231.2633457536103,6693.790037260831,317,-0.08529234122535058,-1.8242000000000003,0.2302839116719243,80,-0.1645865885094758,-0.8480000000000001,0.2
10,50,1,0.75,0.06,0.045,3346.8950186304155,2510.1712639728116,535,-0.041418224254297094,-1.1510000000000011,0.5757009345794393,137,-0.06857364611999295,-0.4912000000000003,0.5620437956204379
10,50,1,1.0,0.06,0.06,3346.8950186304155,3346.8950186304155,399,-0.08088301850042177,-1.9373999999999996,0.48120300751879697,103,-0.13057533052645065,-0.8077999999999995,0.4563106796116505
10,50,1,1.3333333333333333,0.06,0.07999999999999999,3346.8950186304155,4462.526691507221,322,-0.06914649930796479,-1.5372000000000026,0.41304347826086957,76,-0.07933579646809247,-0.41760000000000075,0.40789473684210525
10,50,1,2.0,0.06,0.12,3346.8950186304155,6693.790037260831,216,-0.040511320064964634,-0.7416000000000003,0.3287037037037037,55,-0.12406781393787217,-0.5630000000000002,0.2909090909090909
10,50,1,3.0,0.06,0.18,3346.8950186304155,10040.685055891247,145,-0.06198040232281211,-0.9169999999999996,0.23448275862068965,37,-0.26404984894135386,-0.8762000000000001,0.16216216216216217
10,100,0,0.75,0.008,0.006,446.2526691507221,334.6895018630416,9285,-0.3737579557660134,-24.039,0.5722132471728595,3153,-0.3835346522763394,-8.3898,0.5670789724072313
